serie;idbank;periode;valeur;statut_obs;date_maj_insee;source;date_extraction
ILC;001532540;2019-T1;114.64;JO 22/06/2019;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2019-T2;115.21;JO 21/09/2019;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2019-T3;115.6;JO 21/12/2019;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2019-T4;116.16;JO 21/03/2020;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2020-T1;116.23;JO 01/07/2020;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2020-T2;115.42;JO 26/09/2020;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2020-T3;115.7;JO 23/12/2020;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2020-T4;115.79;JO 21/03/2021;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2021-T1;116.73;JO 25/06/2021;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2021-T2;118.41;JO 26/09/2021;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2021-T3;119.7;JO 23/12/2021;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2021-T4;118.59;JO 25/03/2022;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2022-T1;120.61;JO 23/06/2022;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2022-T2;123.65;JO 24/09/2022;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2022-T3;126.13;JO 18/12/2022;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2022-T4;126.05;JO 25/03/2023;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2023-T1;128.68;JO 25/06/2023;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2023-T2;131.81;JO 30/09/2023;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2023-T3;133.66;JO 22/12/2023;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2023-T4;132.63;JO 04/04/2024;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2024-T1;134.58;JO 29/06/2024;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2024-T2;136.72;JO 25/09/2024;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2024-T3;137.71;JO 18/12/2024;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2024-T4;135.3;JO 26/03/2025;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2025-T1;135.87;JO 02/07/2025;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2025-T2;136.81;JO 24/09/2025;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2025-T3;137.09;JO 17/12/2025;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2025-T4;134.62;JO 26/03/2026;24/06/2026 12:00;INSEE_XLSX;2026-09-09
ILC;001532540;2026-T1;135.26;JO 28/06/2026;24/06/2026 12:00;INSEE_XLSX;2026-09-09
